Accession	Title	Series Type	Taxonomy	Sample Count	Datasets	Supplementary Types	Supplementary Links	PubMed ID	SRA Accession	Contact	Release Date
GSE445	"Alpha Thalassaemia Myelodysplasia Syndrome (ATMDS)"	"Expression profiling by array"	"Homo sapiens"	3				12858175		"Andrea Pellagatti"	"Jun 06, 2003"
GSE437	"Effect of RNA concentration in cross-species hybridization"	"Expression profiling by array"	"Homo sapiens;Marmota monax"	7						"Jo Ann S. Rinaudo"	"May 27, 2003"
GSE439	"Woodchuck and human liver comparison"	"Expression profiling by array"	"Homo sapiens;Marmota monax"	8						"Jo Ann S. Rinaudo"	"May 27, 2003"
GSE361	"Mammary epithelial cell transduction"	"Expression profiling by array"	"Homo sapiens"	20	GDS337			12717449		"Hilary Coller"	"May 16, 2003"
GSE426	"Fibroblast Gene Expression:  Hacia Laboratory"	"Expression profiling by array"	"Gorilla gorilla;Homo sapiens;Pan paniscus"	46				12840040		"Shailender Nagpal"	"May 08, 2003"
GSE427	"Human Fibroblast Set:  Hacia Laboratory"	"Expression profiling by array"	"Homo sapiens"	23				12840040		"Shailender Nagpal"	"May 08, 2003"
GSE428	"Bonobo Fibroblast Data:  Hacia Laboratory"	"Expression profiling by array"	"Homo sapiens;Pan paniscus"	11				12840040		"Shailender Nagpal"	"May 08, 2003"
GSE429	"Gorilla Fibroblast Set:  Hacia Laboratory"	"Expression profiling by array"	"Gorilla gorilla;Homo sapiens"	12				12840040		"Shailender Nagpal"	"May 08, 2003"
GSE137	"Natural variation in human gene expression assessed in lymphoblastoid cells"	"Expression profiling by array"	"Homo sapiens"	70				12567189		"Michael Patrick Morley"	"Apr 22, 2003"
GSE207	"HDMTX_MP-1 pair"	"Expression profiling by array"	"Homo sapiens"	2				12704389		"William E Evans"	"Apr 21, 2003"
GSE208	"HDMTX_MP-10 pair"	"Expression profiling by array"	"Homo sapiens"	2				12704389		"William E Evans"	"Apr 21, 2003"
GSE209	"HDMTX_MP-2 pair"	"Expression profiling by array"	"Homo sapiens"	2				12704389		"William E Evans"	"Apr 21, 2003"
GSE210	"HDMTX_MP-3 pair"	"Expression profiling by array"	"Homo sapiens"	2				12704389		"William E Evans"	"Apr 21, 2003"
GSE211	"HDMTX_MP-4 pair"	"Expression profiling by array"	"Homo sapiens"	2				12704389		"William E Evans"	"Apr 21, 2003"
GSE212	"HDMTX_MP-5 pair"	"Expression profiling by array"	"Homo sapiens"	2				12704389		"William E Evans"	"Apr 21, 2003"
GSE213	"HDMTX_MP-6 pair"	"Expression profiling by array"	"Homo sapiens"	2				12704389		"William E Evans"	"Apr 21, 2003"
GSE214	"HDMTX_MP-7 pair"	"Expression profiling by array"	"Homo sapiens"	2				12704389		"William E Evans"	"Apr 21, 2003"
GSE215	"HDMTX_MP-8 pair"	"Expression profiling by array"	"Homo sapiens"	2				12704389		"William E Evans"	"Apr 21, 2003"
GSE216	"HDMTX_MP-9 pair"	"Expression profiling by array"	"Homo sapiens"	2				12704389		"William E Evans"	"Apr 21, 2003"
GSE217	"HDMTX-1 pair"	"Expression profiling by array"	"Homo sapiens"	2				12704389		"William E Evans"	"Apr 21, 2003"
GSE218	"HDMTX-10 pair"	"Expression profiling by array"	"Homo sapiens"	2				12704389		"William E Evans"	"Apr 21, 2003"
GSE219	"HDMTX-11 pair"	"Expression profiling by array"	"Homo sapiens"	2				12704389		"William E Evans"	"Apr 21, 2003"
GSE220	"HDMTX-12 pair"	"Expression profiling by array"	"Homo sapiens"	2				12704389		"William E Evans"	"Apr 21, 2003"
GSE221	"HDMTX-13 pair"	"Expression profiling by array"	"Homo sapiens"	2				12704389		"William E Evans"	"Apr 21, 2003"
GSE222	"HDMTX-14 pair"	"Expression profiling by array"	"Homo sapiens"	2				12704389		"William E Evans"	"Apr 21, 2003"
GSE223	"HDMTX-15 pair"	"Expression profiling by array"	"Homo sapiens"	2				12704389		"William E Evans"	"Apr 21, 2003"
GSE224	"HDMTX-16 pair"	"Expression profiling by array"	"Homo sapiens"	2				12704389		"William E Evans"	"Apr 21, 2003"
GSE225	"HDMTX-17 pair"	"Expression profiling by array"	"Homo sapiens"	2				12704389		"William E Evans"	"Apr 21, 2003"
GSE226	"HDMTX-18 pair"	"Expression profiling by array"	"Homo sapiens"	2				12704389		"William E Evans"	"Apr 21, 2003"
GSE227	"HDMTX-19 pair"	"Expression profiling by array"	"Homo sapiens"	2				12704389		"William E Evans"	"Apr 21, 2003"
GSE228	"HDMTX-2 pair"	"Expression profiling by array"	"Homo sapiens"	2				12704389		"William E Evans"	"Apr 21, 2003"
GSE229	"HDMTX-20 pair"	"Expression profiling by array"	"Homo sapiens"	2				12704389		"William E Evans"	"Apr 21, 2003"
GSE230	"HDMTX-21 pair"	"Expression profiling by array"	"Homo sapiens"	2				12704389		"William E Evans"	"Apr 21, 2003"
GSE231	"HDMTX-22 pair"	"Expression profiling by array"	"Homo sapiens"	2				12704389		"William E Evans"	"Apr 21, 2003"
GSE232	"HDMTX-3 pair"	"Expression profiling by array"	"Homo sapiens"	2				12704389		"William E Evans"	"Apr 21, 2003"
GSE233	"HDMTX-4 pair"	"Expression profiling by array"	"Homo sapiens"	2				12704389		"William E Evans"	"Apr 21, 2003"
GSE234	"HDMTX-5 pair"	"Expression profiling by array"	"Homo sapiens"	2				12704389		"William E Evans"	"Apr 21, 2003"
GSE235	"HDMTX-6 pair"	"Expression profiling by array"	"Homo sapiens"	2				12704389		"William E Evans"	"Apr 21, 2003"
GSE236	"HDMTX-7 pair"	"Expression profiling by array"	"Homo sapiens"	2				12704389		"William E Evans"	"Apr 21, 2003"
GSE237	"HDMTX-8 pair"	"Expression profiling by array"	"Homo sapiens"	2				12704389		"William E Evans"	"Apr 21, 2003"
GSE238	"HDMTX-9 pair"	"Expression profiling by array"	"Homo sapiens"	2				12704389		"William E Evans"	"Apr 21, 2003"
GSE239	"LDMTX_MP-1 pair"	"Expression profiling by array"	"Homo sapiens"	2				12704389		"William E Evans"	"Apr 21, 2003"
GSE240	"LDMTX_MP-10 pair"	"Expression profiling by array"	"Homo sapiens"	2				12704389		"William E Evans"	"Apr 21, 2003"
GSE241	"LDMTX_MP-11 pair"	"Expression profiling by array"	"Homo sapiens"	2				12704389		"William E Evans"	"Apr 21, 2003"
GSE242	"LDMTX_MP-12 pair"	"Expression profiling by array"	"Homo sapiens"	2				12704389		"William E Evans"	"Apr 21, 2003"
GSE243	"LDMTX_MP-13 pair"	"Expression profiling by array"	"Homo sapiens"	2				12704389		"William E Evans"	"Apr 21, 2003"
GSE244	"LDMTX_MP-14  pair"	"Expression profiling by array"	"Homo sapiens"	2				12704389		"William E Evans"	"Apr 21, 2003"
GSE245	"LDMTX_MP-15 pair"	"Expression profiling by array"	"Homo sapiens"	2				12704389		"William E Evans"	"Apr 21, 2003"
GSE246	"LDMTX_MP-16 pair"	"Expression profiling by array"	"Homo sapiens"	2				12704389		"William E Evans"	"Apr 21, 2003"
GSE247	"LDMTX_MP-2 pair"	"Expression profiling by array"	"Homo sapiens"	2				12704389		"William E Evans"	"Apr 21, 2003"
GSE248	"LDMTX_MP-3 pair"	"Expression profiling by array"	"Homo sapiens"	2				12704389		"William E Evans"	"Apr 21, 2003"
GSE249	"LDMTX_MP-4 pair"	"Expression profiling by array"	"Homo sapiens"	2				12704389		"William E Evans"	"Apr 21, 2003"
GSE250	"LDMTX_MP-5 pair"	"Expression profiling by array"	"Homo sapiens"	2				12704389		"William E Evans"	"Apr 21, 2003"
GSE251	"LDMTX_MP-6 pair"	"Expression profiling by array"	"Homo sapiens"	2				12704389		"William E Evans"	"Apr 21, 2003"
GSE252	"LDMTX_MP-7 pair"	"Expression profiling by array"	"Homo sapiens"	2				12704389		"William E Evans"	"Apr 21, 2003"
GSE253	"LDMTX_MP-8 pair"	"Expression profiling by array"	"Homo sapiens"	2				12704389		"William E Evans"	"Apr 21, 2003"
GSE254	"LDMTX_MP-9 pair"	"Expression profiling by array"	"Homo sapiens"	2				12704389		"William E Evans"	"Apr 21, 2003"
GSE255	"MP-1 pair"	"Expression profiling by array"	"Homo sapiens"	2				12704389		"William E Evans"	"Apr 21, 2003"
GSE256	"MP-10 pair"	"Expression profiling by array"	"Homo sapiens"	2				12704389		"William E Evans"	"Apr 21, 2003"
GSE257	"MP-11 pair"	"Expression profiling by array"	"Homo sapiens"	2				12704389		"William E Evans"	"Apr 21, 2003"
GSE258	"MP-12 pair"	"Expression profiling by array"	"Homo sapiens"	2				12704389		"William E Evans"	"Apr 21, 2003"
GSE259	"MP-2 pair"	"Expression profiling by array"	"Homo sapiens"	2				12704389		"William E Evans"	"Apr 21, 2003"
GSE260	"MP-3 pair"	"Expression profiling by array"	"Homo sapiens"	2				12704389		"William E Evans"	"Apr 21, 2003"
GSE261	"MP-4 pair"	"Expression profiling by array"	"Homo sapiens"	2				12704389		"William E Evans"	"Apr 21, 2003"
GSE262	"MP-5 pair"	"Expression profiling by array"	"Homo sapiens"	2				12704389		"William E Evans"	"Apr 21, 2003"
GSE263	"MP-6 pair"	"Expression profiling by array"	"Homo sapiens"	2				12704389		"William E Evans"	"Apr 21, 2003"
GSE264	"MP-7 pair"	"Expression profiling by array"	"Homo sapiens"	2				12704389		"William E Evans"	"Apr 21, 2003"
GSE265	"MP-8 pair"	"Expression profiling by array"	"Homo sapiens"	2				12704389		"William E Evans"	"Apr 21, 2003"
GSE266	"MP-9 pair"	"Expression profiling by array"	"Homo sapiens"	2				12704389		"William E Evans"	"Apr 21, 2003"
GSE267	"LDMTX_MP"	"Expression profiling by array"	"Homo sapiens"	16				12704389		"William E Evans"	"Apr 21, 2003"
GSE268	"HDMTX"	"Expression profiling by array"	"Homo sapiens"	22				12704389		"William E Evans"	"Apr 21, 2003"
GSE269	"HDMTX_MP"	"Expression profiling by array"	"Homo sapiens"	10				12704389		"William E Evans"	"Apr 21, 2003"
GSE270	"MP"	"Expression profiling by array"	"Homo sapiens"	12				12704389		"William E Evans"	"Apr 21, 2003"
GSE412	"Treatment-specific changes in gene expression discriminate in vivo drug response in human leukemia cells"	"Expression profiling by array"	"Homo sapiens"	120				12704389		"William E Evans"	"Apr 21, 2003"
GSE403	"cAMP-induced differentiation of endometrial stromal cells"	"Expression profiling by array"	"Homo sapiens"	12				14532334		"Said Talbi"	"Apr 14, 2003"
GSE112	"Distinctive gene expression patterns in gastrointestinal stromal tumors identified with cDNA arrays"	"Expression profiling by array"	"Homo sapiens"	94						"Wolfgang Huber"	"Apr 10, 2003"
GSE362	"Normal human muscle - U133 arrays"	"Expression profiling by array"	"Homo sapiens"	30	GDS287;GDS288			12783983		"Stephen Welle"	"Apr 03, 2003"
GSE364	"Molecular profiling of human hepatocarcinogenesis"	"Expression profiling by array"	"Homo sapiens"	87	GDS274			12640447		"Xin Wei Wang"	"Apr 03, 2003"
GSE356	"cDNA array 6800 genes (NIB) - HaCaT J10 24h - 0.5&2 Gy"	"Expression profiling by array"	"Homo sapiens"	5						"Jerome Lamartine"	"Mar 26, 2003"
GSE360	"Macrophages and dendritic cells exposed to phylogenetically distinct parasites"	"Expression profiling by array"	"Homo sapiens"	28				12663451		"Damien Chaussabel"	"Mar 26, 2003"
GSE354	"cDNA array 2304 genes (OSPE) - HaCaT J10 24h - 0.5& 2 Gy"	"Expression profiling by array"	"Homo sapiens"	7						"Jerome Lamartine"	"Mar 25, 2003"
GSE344	"Spotted long oligonucleotide arrays"	"Expression profiling by array"	"Homo sapiens"	23	GDS222;GDS223	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSEnnn/GSE344/suppl"	12805270		"David J Erle"	"Mar 18, 2003"
GSE338	"cDNA array 6800 genes (NIB) - HaCaT J10 3h - 0.5&2 Gy"	"Expression profiling by array"	"Homo sapiens"	4						"Jerome Lamartine"	"Mar 13, 2003"
GSE336	"HaCaT keratinocytes day3 vs HaCaT keratinocytes day10"	"Expression profiling by array"	"Homo sapiens"	6						"Jerome Lamartine"	"Mar 11, 2003"
GSE337	"cDNA array 2304 genes (OSPE) - HaCaT J10 3h - 0.5&2 Gy"	"Expression profiling by array"	"Homo sapiens"	8						"Jerome Lamartine"	"Mar 11, 2003"
GSE105	"Lipopolysaccharide-stimulated neutrophils"	"Expression profiling by array"	"Homo sapiens"	6				12495940		"K C Malcolm"	"Mar 10, 2003"
GSE282	"Interferon induction by shRNA"	"Expression profiling by array"	"Homo sapiens"	2	GDS201			12796781		"Richard Iggo"	"Feb 21, 2003"
GSE281	"Inflammatory myopathy"	"Expression profiling by array"	"Homo sapiens"	12	GDS198			12391344		"Steven Alan Greenberg"	"Feb 12, 2003"
GSE278	"Pancreas and islet gene expression"	"Expression profiling by SAGE"	"Homo sapiens"	3						"Corentin Cras-Méneur"	"Feb 05, 2003"
GSE121	"Type 2 diabetes and insulin resistance"	"Expression profiling by array"	"Homo sapiens"	50	GDS157;GDS158;GDS160;GDS161;GDS162			12436343		"Paska Permana"	"Dec 17, 2002"
GSE88	"Bladder tumour recurrence prediction"	"Expression profiling by array"	"Homo sapiens"	31		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSEnnn/GSE88/suppl"	12469123		"Lars Dyrskjot"	"Dec 08, 2002"
GSE89	"Bladder tumour stage classification"	"Expression profiling by array"	"Homo sapiens"	40	GDS183	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSEnnn/GSE89/suppl"	12469123		"Lars Dyrskjot"	"Dec 08, 2002"
GSE96	"Large-scale analysis of the human transcriptome"	"Expression profiling by array"	"Homo sapiens"	85	GDS181	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSEnnn/GSE96/suppl"	11904358		"John R Walker"	"Dec 06, 2002"
GSE90	"Expression profiling by p53 status"	"Expression profiling by array"	"Homo sapiens"	12	GDS170			12438652		"Fred A Wright"	"Nov 25, 2002"
GSE64	"Insulin sensitive muscle sample pool 1"	"Expression profiling by array"	"Homo sapiens"	5				12436343		"Paska Permana"	"Aug 26, 2002"
GSE65	"Insulin sensitive muscle sample pool 2"	"Expression profiling by array"	"Homo sapiens"	5				12436343		"Paska Permana"	"Aug 26, 2002"
GSE66	"Insulin sensitive muscle sample pool 3"	"Expression profiling by array"	"Homo sapiens"	5				12436343		"Paska Permana"	"Aug 26, 2002"
GSE67	"Insulin sensitive muscle sample pool 4"	"Expression profiling by array"	"Homo sapiens"	5				12436343		"Paska Permana"	"Aug 26, 2002"
GSE68	"Insulin sensitive muscle sample pool 5"	"Expression profiling by array"	"Homo sapiens"	5				12436343		"Paska Permana"	"Aug 26, 2002"
GSE69	"Insulin resistant muscle sample pool 1"	"Expression profiling by array"	"Homo sapiens"	5				12436343		"Paska Permana"	"Aug 26, 2002"
GSE70	"Insulin resistant muscle sample pool 2"	"Expression profiling by array"	"Homo sapiens"	5				12436343		"Paska Permana"	"Aug 26, 2002"
GSE71	"Insulin resistant muscle sample pool 3"	"Expression profiling by array"	"Homo sapiens"	5				12436343		"Paska Permana"	"Aug 26, 2002"
GSE72	"Insulin resistant muscle sample pool 4"	"Expression profiling by array"	"Homo sapiens"	5				12436343		"Paska Permana"	"Aug 26, 2002"
GSE73	"Insulin resistant muscle sample pool 5"	"Expression profiling by array"	"Homo sapiens"	5				12436343		"Paska Permana"	"Aug 26, 2002"
GSE80	"Normal human muscle"	"Expression profiling by array"	"Homo sapiens"	12	GDS156	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSEnnn/GSE80/suppl"	12204100		"Stephen Welle"	"Aug 21, 2002"
GSE43	"Antibody Arrays Figure 1"	"Protein profiling by protein array"	"Homo sapiens"	6				11182887		"Stanford Microarray Database (SMD)"	"Jun 27, 2002"
GSE44	"Antibody Arrays Figure 7"	"Protein profiling by protein array"	"Homo sapiens"	6				11182887		"Stanford Microarray Database (SMD)"	"Jun 27, 2002"
GSE45	"Antibody Arrays Figures 2, 4 and 6"	"Protein profiling by protein array"	"Homo sapiens"	6				11182887		"Stanford Microarray Database (SMD)"	"Jun 27, 2002"
GSE46	"Antibody Arrays Figure 6 10X FCS"	"Protein profiling by protein array"	"Homo sapiens"	6				11182887		"Stanford Microarray Database (SMD)"	"Jun 27, 2002"
GSE47	"Antibody Arrays Figure 6 100X FCS"	"Protein profiling by protein array"	"Homo sapiens"	6				11182887		"Stanford Microarray Database (SMD)"	"Jun 27, 2002"
GSE48	"Secreted and membrane-associated genes"	"Expression profiling by array"	"Homo sapiens"	1				10802657		"Stanford Microarray Database (SMD)"	"Jun 27, 2002"
GSE49	"DNA copy-number changes"	"Genome variation profiling by array"	"Homo sapiens"	10				10471496		"Stanford Microarray Database (SMD)"	"Jun 27, 2002"
GSE50	"Antibody Array Figures"	"Protein profiling by protein array"	"Homo sapiens"	30				11182887		"Stanford Microarray Database (SMD)"	"Jun 27, 2002"
GSE53	"Human mammary epithelium and breast cancer"	"Expression profiling by array"	"Homo sapiens"	26				10430922		"Stanford Microarray Database (SMD)"	"Jun 27, 2002"
GSE55	"Serum stimulation of fibroblasts experiment set"	"Expression profiling by array"	"Homo sapiens"	12				9872747		"Stanford Microarray Database (SMD)"	"Jun 27, 2002"
GSE56	"Serum stimulation of fibroblasts with cycloheximide"	"Expression profiling by array"	"Homo sapiens"	4	GDS145			9872747		"Stanford Microarray Database (SMD)"	"Jun 27, 2002"
GSE57	"Serum stimulation of fibroblasts controls"	"Expression profiling by array"	"Homo sapiens"	2				9872747		"Stanford Microarray Database (SMD)"	"Jun 27, 2002"
GSE58	"Serum stimulation of fibroblasts"	"Expression profiling by array"	"Homo sapiens"	18	GDS85;GDS86			9872747		"Stanford Microarray Database (SMD)"	"Jun 27, 2002"
GSE59	"Human cancer cell lines"	"Expression profiling by array"	"Homo sapiens"	68	GDS88			10700174		"Stanford Microarray Database (SMD)"	"Jun 27, 2002"
GSE60	"Diffuse large B-cell lymphoma"	"Expression profiling by array"	"Homo sapiens"	133				10676951		"Stanford Microarray Database (SMD)"	"Jun 27, 2002"
GSE61	"Molecular portraits of human breast tumors"	"Expression profiling by array"	"Homo sapiens"	84				10963602		"Stanford Microarray Database (SMD)"	"Jun 27, 2002"
GSE62	"mRNAs translated at eIF4F"	"Expression profiling by array"	"Homo sapiens"	6				10557283		"Stanford Microarray Database (SMD)"	"Jun 27, 2002"
GSE41	"Effects of estrogen"	"Expression profiling by SAGE"	"Homo sapiens"	4				11085516		"C Marcelo Aldaz"	"May 21, 2002"
GSE40	"Clontech RNA samples"	"Expression profiling by array"	"Homo sapiens"	5						"Richard Rouse"	"May 14, 2002"
GSE31	"SAGE profiles from cultured keratinocytes and human epidermis"	"Expression profiling by SAGE"	"Homo sapiens"	5				11772949;11168793		"Bastiaan Jansen"	"Feb 22, 2002"
GSE16	"Microarray-based CGH in human cancer cell lines"	"Genome variation profiling by genome tiling array"	"Homo sapiens"	25				11687795		"Donna G Albertson"	"Feb 12, 2002"
GSE17	"Young and old muscle comparison"	"Expression profiling by SAGE"	"Homo sapiens"	2				10904065		"Stephen Welle"	"Feb 01, 2002"
GSE14	"Cancer Genome Anatomy Project (CGAP) SAGE Libraries"	"Expression profiling by SAGE"	"Homo sapiens;Mus musculus"	765				11257097;12119410		"Cancer Genome Anatomy Project CGAP"	"Nov 29, 2001"
GSE10	"eye-SAGE"	"Expression profiling by SAGE"	"Homo sapiens"	4				11756676		"Dror Sharon"	"Oct 03, 2001"
GSE3	"Renal Cell Carcinoma Differential Expression"	"Expression profiling by array"	"Homo sapiens"	342				11691851		"Wolfgang Huber"	"Jul 19, 2001"
GSE1	"NHGRI_Melanoma_class"	"Expression profiling by array"	"Homo sapiens"	38				10952317		"Michael Bittner"	"Jan 22, 2001"
